t;Eigengeschwindigkeit(m/s);Bbox_Breite;Bbox_Hoehe;Bbox_links_unten_y;Abstand(m)
0;21,1;38;75;167;83,5
0,1;21;39;78;162;81
0,2;21,1;44;87;161;80,5
0,3;21;42;83;160;80
0,4;21;47;94;158;79
0,5;21;47;94;156;78
0,6;21,1;48;96;155;77,5
0,7;21,1;49;97;153;76,5
0,8;21,2;51;102;152;76
0,9;21,2;52;104;149;74,5
1;21;54;107;147;73,5
1,1;21,1;60;120;144;72
1,2;21,2;61;121;143;71,5
1,3;21,1;60;119;141;70,5
1,4;21,2;66;131;139;69,5
1,5;21;66;132;136;68
1,6;21,2;68;135;135;67,5
1,7;21;70;139;133;66,5
1,8;21,2;71;141;132;66
1,9;21,2;73;146;128;64
2;21,2;74;148;127;63,5
2,1;21,2;78;155;125;62,5
2,2;21,1;81;161;124;62
2,3;21,2;80;160;122;61
2,4;21,1;85;170;119;59,5
2,5;21,1;84;167;117;58,5
2,6;21,1;122;173;117;58,5
2,7;21,1;89;177;113;56,5
2,8;21,2;91;181;112;56
2,9;21,1;92;183;111;55,5
3;21;95;190;106;53
3,1;21;99;198;105;52,5
3,2;21,2;139;194;105;52,5
3,3;21,2;97;194;103;51,5
3,4;21,2;105;210;99;49,5
3,5;21;135;207;99;49,5
3,6;21,1;108;216;96;48
3,7;21,1;109;218;93;46,5
3,8;21,2;109;218;92;46
3,9;21,2;111;221;90;45
4;21;113;225;89;44,5
4,1;21,1;119;237;86;43
4,2;21,1;117;234;85;42,5
4,3;21,1;117;233;84;42
4,4;21,2;121;242;80;40
4,5;21,2;161;246;78;39
4,6;21,2;129;257;75;37,5
4,7;21;130;260;74;37
4,8;21,1;131;262;71;35,5
4,9;21,2;136;271;68;34
5;21,1;134;267;68;34
5,1;21,2;138;276;66;33
5,2;21;139;277;63;31,5
5,3;21,2;143;285;60;30
5,4;21,1;146;291;58;29
5,5;21,1;147;293;55;27,5
5,6;21,1;150;300;54;27
5,7;21,1;152;303;53;26,5
5,8;21,1;155;309;48;24
5,9;21,2;154;307;47;23,5
6;21,2;156;311;45;22,5
6,1;21,1;158;315;44;22
6,2;21,2;163;325;40;20
6,3;21,1;163;325;38;19
6,4;21,1;169;337;35;17,5
6,5;21,2;172;344;32;16
6,6;21,1;172;343;32;16
6,7;21,1;176;352;28;14
6,8;21,1;175;349;28;14
6,9;21;179;357;25;12,5
7;21,1;181;361;24;12
