t;Eigengeschwindigkeit(m/s);Bbox_Breite;Bbox_Hoehe;Bbox_links_unten_y;Abstand(m)
0;22;304;226;87;43,5
0,1;22,1;276;227;87;43,5
0,2;22,1;279;230;87;43,5
0,3;22;287;236;86;43
0,4;22,2;283;233;86;43
0,5;22,1;284;234;86;43
0,6;22;287;236;87;43,5
0,7;22,1;283;233;86;43
0,8;22,2;303;224;88;44
0,9;22,2;287;236;87;43,5
1;22,1;278;229;87;43,5
1,1;22,1;277;228;87;43,5
1,2;22,1;273;225;88;44
1,3;22;277;228;88;44
1,4;22;277;228;88;44
1,5;22,1;279;230;87;43,5
1,6;22,2;281;231;89;44,5
1,7;22;278;229;90;45
1,8;22,2;276;227;89;44,5
1,9;22,1;278;229;89;44,5
2;22,1;287;236;87;43,5
2,1;22;283;233;87;43,5
2,2;22;278;229;89;44,5
2,3;22;276;227;88;44
2,4;22,1;273;225;88;44
2,5;22,2;276;227;90;45
2,6;22,1;271;223;90;45
2,7;22,1;267;220;91;45,5
2,8;22;276;227;91;45,5
2,9;22,2;269;221;91;45,5
3;22,1;273;225;90;45
3,1;22,2;276;227;90;45
3,2;22;267;220;92;46
3,3;22;307;217;93;46,5
3,4;22,2;262;216;93;46,5
3,5;22,2;261;215;94;47
3,6;22;264;217;94;47
3,7;22;267;220;93;46,5
3,8;22,2;261;215;95;47,5
3,9;22,1;259;213;94;47
4;22,1;258;212;96;48
4,1;22;254;209;98;49
4,2;22,1;249;205;98;49
4,3;22,2;253;208;97;48,5
4,4;22;247;203;100;50
4,5;22,1;247;203;100;50
4,6;22;247;203;101;50,5
4,7;22,2;253;208;101;50,5
4,8;22,1;242;199;103;51,5
4,9;22,1;238;196;104;52
5;22;239;197;105;52,5
5,1;22,2;243;200;105;52,5
5,2;22,1;232;191;106;53
5,3;22,1;232;191;106;53
5,4;22,2;236;194;106;53
5,5;22;229;188;109;54,5
5,6;22,2;233;192;109;54,5
5,7;22;232;191;108;54
5,8;22;216;178;112;56
5,9;22,2;222;183;111;55,5
6;22,1;216;178;112;56
6,1;22,1;220;181;113;56,5
6,2;22,1;215;177;114;57
6,3;22;205;169;116;58
6,4;22,2;209;172;118;59
6,5;22,2;208;171;118;59
6,6;22,1;208;171;119;59,5
6,7;22,2;198;163;120;60
6,8;22,1;193;159;122;61
6,9;22,1;190;156;123;61,5
7;22,1;190;156;125;62,5
7,1;22,2;185;152;126;63
7,2;22,1;185;152;126;63
7,3;22,1;178;146;127;63,5
7,4;22;179;147;128;64
7,5;22,2;170;140;131;65,5
7,6;22,1;179;147;130;65
7,7;22,2;170;140;132;66
7,8;22;168;138;134;67
7,9;22,2;165;136;134;67
8;22;167;137;136;68
8,1;22,1;157;129;137;68,5
8,2;22,2;153;126;138;69
8,3;22,2;155;127;140;70
8,4;22,1;150;123;142;71
8,5;22,1;151;124;141;70,5
8,6;22,1;146;120;143;71,5
8,7;22,1;177;115;143;71,5
8,8;22,1;134;110;146;73
8,9;22,1;135;111;146;73
9;22,2;136;112;149;74,5
9,1;22;175;115;147;73,5
9,2;22;134;110;150;75
9,3;22,1;128;105;151;75,5
9,4;22,1;148;95;153;76,5
9,5;22,1;157;92;154;77
9,6;22,2;115;94;156;78
9,7;22,1;107;88;157;78,5
9,8;22,2;104;85;158;79
9,9;22;106;87;157;78,5
10;22,1;104;85;159;79,5
10,1;22;126;77;162;81
10,2;22,1;101;83;161;80,5
10,3;22,2;100;82;163;81,5
